uid;age;attraction_coeff;coins;country;visit_days;gender;age_filter_start;age_filter_end;views_count;was_premium;is_premium;total_revenue
892319115;25;435;;United States of America;1,2,3,4,5,6;0;22;32;982;;;0
891248523;29;500;;United States of America;1,2;1;26;32;12;;;0
891670932;33;800;;France;1,2,3,5,6,8,9,11,13,16;1;30;36;5;;;0
891060786;26;0;;Argentina;1,2,3,4,5;1;23;29;0;;;0
892006554;35;294;;United States of America;1,2,3,5,6,7,8,9,10,12,15,16,17,19;1;30;40;17;;;0
891497961;28;400;28.0;Chile;1,2;1;25;31;25;;;6396
892154826;20;100;;United States of America;1,2,3,4,5,7,8,9,11,12,13,14,15,17,18,19,20,21,23,25,26;1;17;23;10;;;0
891710454;25;545;;Italy;2,4,6,8,9,11,12,14,15,16,17;1;18;39;11;;;0
891229611;38;0;;Chile;1,2,3;1;35;41;2;;;0
892046007;49;0;;United States of America;;1;46;52;0;;;0
892283334;20;0;;United States of America;1;1;16;20;8;;;0
891537291;32;0;;Australia;1,2;1;29;35;1;;;0
892162719;21;0;;United States of America;1,3;1;18;30;0;;;0
891969288;37;0;;France;;1;16;79;0;;;0
891196710;23;600;;Germany;1,2,3,4,5,7;1;20;26;10;;;0
891800556;30;0;;United States of America;;1;27;33;7;;;0
891606519;53;0;;Spain;;1;50;56;0;;;0
891057888;37;571;;United States of America;2,4;1;34;40;7;;;0
891400089;39;76;;Israel;1,2,3,4,5;1;36;42;26;;;0
891316365;31;1000;;United States of America;1,2,3,4,5,7,8,9,10;1;28;34;2;;;0
891702429;28;0;;United Kingdom (Great Britain);;1;42;60;0;;;0
891950898;29;0;;United Arab Emirates;1,3,4,5,6,7,8,10,11,12,13,14,15,16,18,19,20,21;1;26;43;0;;;0
891548223;46;0;;Belgium;;1;43;49;0;;;0
892379115;23;948;;United States of America;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,60;1;20;99;411;;;0
892353222;23;0;;Portugal;1;1;20;26;0;;;0
892331865;28;0;;United States of America;1,2;1;25;31;0;;;0
892011666;35;416;;Belgium;1,2,4,5,6,7,8,10,11,12,13,14,15,16,18,19;1;19;33;12;1.0;;0
891898875;25;0;;United Kingdom (Great Britain);2,4,5;1;22;28;2;;;0
891927129;25;242;;United States of America;1;0;22;28;214;;;0
892268112;22;0;;Italy;;1;19;25;0;;;0
891441471;22;0;;United States of America;1,2,3,4,5;1;19;25;0;;;0
892062564;40;353;;Belgium;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25;1;19;60;99;;;0
891167226;21;300;;United States of America;1,2,3,4,5,6,7;1;18;24;10;;;0
891851487;23;0;;United States of America;;1;20;26;0;;;0
891551691;28;0;;France;;1;25;31;0;;;0
891679653;20;1000;;France;3,4,5,6,7,8,10,11,13,14;1;17;23;4;;;0
891726552;23;0;;Italy;1,15;1;20;26;3;;;0
891995031;23;392;;United States of America;1,2,3,4;1;20;26;79;;;0
892003152;28;537;;United Arab Emirates;1,2,3,4,5,6,7,8,10,13,14,18,21;1;16;31;54;;;0
891313557;47;0;;Argentina;1,2,4,5,6,8,9;1;44;50;0;;;0
892247343;31;0;;United States of America;;1;28;34;6;;;0
891525432;33;1000;;France;1,2,3,4,6,7;1;30;36;2;;;0
891931863;33;0;;Canada;1;1;30;36;6;;;0
891609171;34;513;;United States of America;1,2;0;31;61;343;;;0
891878070;38;333;;United States of America;1,2,20;1;16;21;3;;;0
891634665;57;300;;Portugal;1,2,3,4,5,6,7,8,9,10,11,12,13,15;1;50;60;10;;;0
892138794;51;666;;Argentina;1,2;1;24;50;3;;;0
892152435;32;0;;United States of America;;1;29;35;0;;;0
891366831;36;0;;Spain;1,2,3,4;1;33;39;0;1.0;;0
891198741;26;666;;United Arab Emirates;1,2,3;1;23;29;18;;;0
891163944;40;211;;Israel;1,2;1;35;39;52;;;0
892432578;33;0;;United States of America;;1;30;36;0;;;0
891435360;59;0;;Argentina;;1;27;50;0;;;0
892295310;41;187;;Chile;1,2,3,4,5,6,7,8,10,11,12,13,14,15,16;1;34;41;16;;;0
891641769;22;666;;Belgium;1,3;1;19;25;3;1.0;;0
891734712;48;384;;Germany;1,2,3,4,7,8;1;30;40;78;;;0
892272840;27;0;;Chile;1,2,3,4,5,6,7,8,9,10,12,13,14,15,16;1;24;30;2;;;0
891721569;29;500;;France;1,2,3,4,5,6,7,8,9,10,12,13,14,16,17;1;26;99;8;;;0
891195648;38;0;;France;;1;35;41;0;;;0
891975432;37;250;;France;1,2,3,4,6,7,9,11,13,15,16,17,18,19,20,21;1;34;40;12;;;0
891174765;56;1000;;Switzerland;;1;41;55;2;;;0
891119454;50;200;;United States of America;1,2,3,4,5;1;47;53;30;;;0
891449373;33;200;;United States of America;;1;30;36;5;;;0
891873306;31;750;;France;1;1;28;34;4;;;0
891098937;29;0;;United States of America;1;1;26;32;0;;;0
891100086;35;600;;France;;1;32;38;5;1.0;1.0;0
892289205;25;49;;Russian Federation;;1;22;28;81;;;0
891606402;27;833;;United Arab Emirates;1,2,3,5,6;1;24;30;18;;;0
891520800;71;425;;Italy;1,2;1;50;70;47;;;0
891237141;23;111;;Argentina;;1;20;26;9;;;0
892164771;31;366;;Germany;1;1;28;34;30;;;0
891565047;33;500;;Argentina;;1;30;36;6;;;0
892280022;27;0;;Germany;1;1;24;30;0;;;0
891863613;29;470;;United Arab Emirates;1;1;26;32;17;;;0
891985635;29;307;;Chile;1,2,3,5,6,8,9,10,11,13,14,15,16,17,18,19,20,21;1;26;32;13;;;0
891301590;24;1000;;Chile;1,2,3,4;1;20;99;3;;;0
891722226;40;0;;United States of America;7,8,9,10,11;1;37;43;0;;;0
891748551;37;0;;France;1,3,4,5,7;1;34;40;1;;;0
891332124;22;200;;United States of America;;1;19;25;5;;;0
891779421;26;0;;Italy;12,13,14;1;23;29;2;;;0
891661539;22;0;;United States of America;;1;19;25;1;;;0
892408695;22;0;;France;;1;19;25;0;;;0
891230355;33;1000;;Spain;1,2,3,5,6,7;1;26;52;3;;;0
891930945;28;0;;Argentina;1,2,3;1;25;31;0;;;0
891796836;52;500;;Italy;;1;34;62;2;;;0
891451512;25;0;;Germany;;1;22;31;25;;;0
891233772;35;0;;Chile;1,3,5,6;1;32;38;5;;;0
892084086;28;1000;;United States of America;;1;25;31;1;;;0
891877764;27;500;;United States of America;1,2,3,13,14,15,16,17,18,19;1;24;30;8;;;0
891193947;24;0;;United States of America;2,3,4,5,6,7;1;21;27;0;;;0
892049880;21;0;;United States of America;;1;18;24;0;;;0
891134613;21;0;;Italy;1,3,5;1;18;24;0;;;0
891108852;32;750;;United States of America;1,2,3,4,5;1;16;35;4;;;0
892246644;26;0;;Germany;1;1;16;26;4;;;0
892087635;20;468;;United States of America;1,2,3,4,5,6,7,8,9,10,11;1;17;23;32;;;0
891843168;41;333;;United Arab Emirates;;1;20;35;39;;;0
891367128;28;750;;Argentina;1,2,3;1;16;72;4;;;0
891953571;25;0;;Argentina;1,2,4,5,6,7,8;1;22;28;6;;;0
891247146;39;1000;;United Arab Emirates;;1;36;42;4;;;0
892103808;31;1000;;United Kingdom (Great Britain);1,2,3,4,5;1;28;34;1;;;0
892429812;24;1000;;United States of America;1;1;21;27;1;;;0
892264263;25;0;;Portugal;1,2,4,5,6,7;1;22;28;3;;;0
891294807;29;418;;Spain;1,2,3,4,5,6;1;26;32;43;;;0
891318513;44;0;;Canada;;1;41;47;0;;;0
891255390;29;333;;United Arab Emirates;;1;36;45;9;;;0
891202089;22;904;;United States of America;1,2,3;1;19;25;21;;;0
891863007;32;0;;United Kingdom (Great Britain);1,11;1;24;42;7;;;0
892380033;29;535;;United States of America;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,60;1;25;31;142;1.0;1.0;4732
892343349;33;548;;United States of America;;1;30;36;31;;;0
892379838;26;727;;Argentina;;1;23;95;11;;;0
892371402;32;0;;Portugal;1,3,4;1;29;35;3;;;0
891233658;27;0;;Chile;1;1;16;40;1;;;0
891709755;35;400;;United States of America;;1;32;38;5;;;0
891955296;23;200;;United States of America;;1;20;26;25;;;0
891175698;41;419;;Germany;1,2,3,4;1;38;44;105;;;0
892369599;54;632;;United States of America;1,2,4,5,6,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30;1;50;57;49;;;0
891586518;25;0;;Chile;1,2,3;1;22;28;1;;;0
892150794;33;833;;United States of America;;1;23;31;6;;;0
891709374;41;379;;United States of America;1,2,3;1;38;44;29;1.0;;0
892095981;26;1000;;United States of America;2,3,4,5,6,7,8,9,10,12,13,14,15,17,18,19,20,21,22,24;1;23;29;1;;;0
892172778;24;0;;Portugal;;1;21;27;0;;;0
892438788;27;250;;United States of America;;1;24;30;4;;;0
